pickup_spot,dropoff_spot,min_dep_time
48407,44743,32
126704,76478,56
60040,114429,72
139673,151920,84
136024,138149,121
147926,139052,726
151920,139673,1155
44743,48407,1660
114429,60040,1684
41266,40002,2234
79112,66782,2336
49237,67932,2419
22990,159469,2485
72907,55214,2723
138149,136024,2875
64007,149726,3153
19483,116608,3287
114007,56220,3444
20773,118972,3474
55214,138520,3503
21729,91428,3506
63626,11517,3579
139779,100854,3611
97591,101383,3739
84322,2036,3739
67932,49237,3827
40002,107618,3858
147369,55198,4185
138520,8937,4192
118972,20773,4241
56220,114007,4298
66782,79112,4428
72276,64690,4441
116608,19483,4568
11517,63626,4647
101383,97591,4797
129851,105654,4831
55198,147369,4892
187,5865,4963
8937,72907,4993
87055,11571,5275
27157,20357,5423
149329,63401,5529
64690,72276,5540
149726,64007,5623
139052,84168,5882
53594,146859,5893
100854,139779,6338
105654,129851,6496
84168,147926,6569
21751,78355,6578
90760,61162,6642
63401,149329,6794
5865,187,7027
78355,21751,7639
146859,53594,7817
61162,24736,8095
115793,132389,8172
8521,97874,8243
106185,40367,8360
3483,63165,8434
24736,90760,8502
2917,135046,8714
150155,150990,8897
97874,8521,8986
108478,108552,9124
121664,78747,9136
44458,120537,9181
63165,3483,9368
76920,10082,9534
85175,19151,9563
13479,98655,9664
59935,30245,9711
127586,108222,9755
112712,118256,9880
10082,76920,10153
108552,108478,10348
120537,44458,10420
93270,98521,10457
91428,21729,10609
110438,81332,10629
78747,121664,10844
150990,150155,10850
40367,106185,10950
27642,3551,11349
135046,2917,11439
108222,127586,11633
12443,48808,11650
23461,24964,11656
119825,143697,11735
76173,73160,11865
150316,128374,11930
1293,158387,12045
15773,121196,12156
119417,103633,12200
139792,154146,12209
154259,109541,12275
3551,108700,12341
133120,147175,12351
30245,73541,12352
98226,120499,12399
105654,126340,12502
100980,150746,12760
40207,73066,12763
81332,110438,12766
149337,154569,13063
143697,119825,13137
25380,5745,13159
24964,127907,13161
120882,53842,13184
96937,109562,13219
121001,48420,13220
85456,88769,13257
5824,151393,13295
24889,7018,13303
127094,136585,13379
160842,133959,13408
155902,110674,13521
22926,41785,13577
58806,128957,13714
121196,15773,13794
3705,13587,13820
144043,63948,13839
108700,27642,13878
48420,121001,13899
137303,52275,13904
118256,76222,13958
144827,149270,14045
120499,98226,14047
73066,40207,14105
111156,34082,14137
33855,157187,14149
48808,146967,14200
117988,12595,14205
150746,100980,14274
133997,76917,14343
2036,112005,14444
98521,93270,14469
86205,13266,14470
146967,149712,14472
119399,58509,14534
146963,71080,14546
154569,88633,14636
45760,139451,14706
127907,33607,14709
111843,107785,14743
7018,24889,14754
109562,96937,14777
50272,55449,14791
62916,96807,14835
144136,106801,14852
60116,64040,14862
96331,78623,14878
11571,87055,14902
17115,8770,14925
5745,25380,14949
76917,133997,15007
119019,142252,15035
157187,33855,15036
53842,120882,15066
108358,88473,15067
86203,69737,15128
1108,68814,15162
103221,126855,15218
149270,34715,15242
98655,115793,15255
127445,22213,15268
53235,90475,15323
20357,27157,15337
101824,131298,15347
122008,160106,15355
67510,145776,15390
71080,146963,15395
41785,64013,15404
61489,148898,15410
138379,22170,15413
130578,69114,15415
119885,141232,15435
89074,109886,15444
64013,126892,15574
143338,148519,15656
28268,146037,15662
54953,34609,15682
126340,102700,15684
128957,58806,15687
13575,67824,15794
90475,53235,15796
12595,117988,15809
88769,85456,15811
110674,155902,15818
84678,54283,15886
88473,108358,15900
139944,155051,15911
17663,122327,15940
100908,74878,15944
96105,65758,15948
112005,84322,15980
27600,34609,15986
45440,4172,15991
7434,52178,15997
133959,160842,16034
40738,77582,16046
115468,38263,16104
26999,76455,16148
136585,127094,16179
112848,121277,16256
58401,92365,16291
73541,121987,16309
30320,1590,16406
36093,99192,16434
104667,17433,16547
148898,61489,16551
104978,55235,16589
8435,102391,16673
126892,22926,16677
33702,88716,16706
149712,12443,16713
106801,144136,16728
52275,137303,16759
117772,102164,16766
62536,119934,16770
81336,10414,16773
33607,104266,16787
131298,101824,16788
55449,50272,16983
74878,100908,17004
80466,140212,17033
35892,77476,17066
65310,11907,17068
131238,124059,17096
135144,93359,17117
121987,59935,17158
1590,30320,17160
68258,23044,17182
141232,119885,17202
86905,155,17207
80208,58895,17230
72503,15460,17313
75451,29614,17320
6164,20693,17337
35282,88232,17351
103661,1705,17354
146037,28268,17356
103633,119417,17426
107785,37163,17440
32825,37287,17445
151393,5824,17482
73396,133112,17508
69460,136266,17533
35105,38014,17540
121277,112848,17581
10414,79713,17598
70148,136866,17665
18170,151498,17671
76222,112712,17749
103221,70058,17756
49066,47903,17765
52178,100491,17787
23549,28254,17787
125755,61441,17791
22213,127445,17824
145548,65237,17833
102164,117772,17897
77582,146017,17907
1,137303,17927
31858,134429,17946
102369,64949,17976
83872,732,17991
125845,110635,18009
1705,103661,18036
38253,133106,18055
88716,33702,18058
92365,58401,18092
69737,86203,18111
140212,80466,18144
58895,80208,18161
66557,88751,18201
69114,130578,18209
61139,145133,18237
19641,26506,18242
102700,105654,18258
102064,3932,18261
29063,66851,18277
136567,148050,18280
23402,50615,18302
119934,62536,18325
129235,128751,18347
95536,124197,18366
69163,77476,18397
72027,158869,18399
79307,119334,18416
4172,128123,18421
154729,129975,18434
103027,138523,18456
136266,56346,18471
124059,131238,18477
22170,156148,18489
92070,12900,18511
68814,1108,18522
57468,122318,18560
72884,9459,18566
112850,92123,18586
135553,18546,18595
109242,79680,18629
154245,139944,18632
100491,117739,18676
9392,125782,18683
37163,69865,18712
129734,35225,18712
13266,65035,18738
139613,50297,18754
98614,105197,18793
86831,12218,18807
36282,27448,18828
145133,61139,18828
